ID Alumno,Taller 1,Taller 2,Taller 3,Actividad en línea 1,Actividad en línea 2,Actividad en línea 3,Prueba 1,Prueba 2,Prueba 3,Nota Presentación,Nota Examen,Nota Final
160001322,5.5,7,5.6,6.4,6.2,4.6,6.2,5.5,4.3,5.5,6.2,5.8
160002042,7,7,7,3.8,2.3,2.3,5,4.9,4.4,4.8,5.2,5
160002581,6.5,6.2,4.5,5.4,1.8,2.4,6.2,5.1,4,5,4.7,4.9
160001794,7,7,6.5,7,5.3,2.6,6.2,7,6.3,6.4,6.6,6.5
160003667,6,4.3,6,4.8,4.4,3,5.3,4.7,4.2,4.7,5.8,5.1
160003095,7,7,6.2,6.6,7,4.7,6.2,6.1,3.8,5.7,5.6,5.7
160003514,7,7,7,7,6.6,6.6,6.2,6.5,6.6,6.6,6.5,6.6
160003531,7,7,7,6.6,6.5,1.7,6.2,6.8,5.2,6.2,5.7,6
160003534,7,6.5,7,6.8,6.2,4.2,6.4,7,6.1,6.4,5.1,5.9
160000174,7,7,7,6.6,5.7,4.5,5.7,5.4,4.5,5.5,4.3,5
160002188,4.8,4,6.2,5.2,2,2,5.1,3.6,3,3.9,5.2,4.4
160002896,6.5,7,7,5.8,5.8,3,6.2,5.6,2.6,5.2,4.2,4.8
160001380,5.7,6.7,6.6,7,6.7,3.7,6.1,6.3,5.7,6,5.9,6
160003280,6.5,7,3.8,5.6,4.1,1.4,4.1,3.4,3.3,3.9,4.1,4
160001539,2,7,5,5,2.2,3.6,5.6,2.9,5.1,4.4,3.4,4
160002189,7,7,6.8,4.6,5.4,2.9,6.1,6.3,5.1,5.8,5.7,5.8
160000010,7,7,7,7,6.9,5.2,5.4,6.2,4.9,5.9,5.5,5.7
160003409,6.5,7,7,7,6.9,6,6.2,6.6,6.8,6.8,6.7,6.8
160001708,6,7,7,6,2.6,2.3,4,4.5,4.7,4.6,5.9,5.1
160000963,7,7,6,6.2,6.3,4.8,5.1,2.9,4.3,4.7,4.9,4.8
160001154,7,7,7,7,5.1,1.1,6.2,6.3,2.9,5.3,5.3,5.3
160000832,6.5,7,7,1.8,1.5,1.8,5.1,4.1,1.6,3.7,2.7,3.3
160002209,6,7,7,6.4,6.5,4.8,4.6,5.7,6.4,5.8,5.5,5.7
160000655,5.8,7,7,3.3,4.2,3,6.2,6.4,4,5.5,4.4,5.1
160001208,6.8,7,6.6,6.8,5.4,5.3,5.7,2.4,5.6,5,3.3,4.3
160002792,7,4.5,7,6.6,3.6,3.8,5.6,3.6,2,4.1,4.2,4.1
160002394,7,7,7,4.8,3.8,4,2.9,3.8,2.8,3.9,2.7,3.4
160001692,5,6.3,5.5,3.6,3.4,4.3,4.7,3.2,3.1,3.9,4.9,4.3
160002827,7,7,6.8,7,6,4.9,6.2,6.8,4,6,6.1,6
160002874,6,7,7,5.6,4.6,1.7,5.7,4.7,4,4.9,5.1,5
160002834,7,7,7,6.8,6.6,5.7,6.3,6.8,6.7,6.6,5.4,6.1
160002921,7,7,7,6.8,5,5.7,6.2,6.9,5.6,6.4,5.6,6.1
160003529,7,7,7,4.6,6.2,2.2,5.8,6.1,1.9,4.9,5,4.9
160003059,6.5,6.8,6.8,6.4,3.1,1.4,6.3,5,1.1,4.3,5.4,4.7
160000314,6,6,7,4.8,1.5,2.5,4.9,3.6,2.7,3.9,1.9,3.1
160000040,5.1,5.5,4,4.2,4.6,2.7,3.5,6.1,4.6,4.7,4.7,4.7
160000614,6.5,7,7,6.5,4.8,1.5,6,6.9,4.6,5.7,4.5,5.2
160001962,6,7,7,6.6,4.3,3.5,6.2,5.5,3,5.2,3.3,4.4
160002837,6.6,7,7,7,6.9,5,6.2,6.2,6.4,6.5,7,6.7
160002891,6.8,7,7,7,3,4,5.7,6,4,5.6,6,5.8
160003151,5,7,5.4,6.4,4.6,4.1,6.3,6,4.1,5.4,4.7,5.1
160002318,4,4.3,6,7,6.5,3,5,5.6,4.6,5.1,4.4,4.8
160002266,5.5,6.8,7,5.8,1.8,1.2,5.3,4.4,4.2,4.6,3.3,4.1
160000180,6.5,5.7,7,7,6.2,1.8,4.7,5.1,1.9,4.4,3.9,4.2
160001343,4.5,6.5,5.8,2.4,3,1.3,3.4,4.4,1.1,3.2,4.2,3.6
160002342,6.8,7,6.6,7,6.6,6,6.4,6.1,5.3,6.1,6,6.1
160001693,5.5,7,7,7,6.4,4.8,5.7,6.1,4,5.8,5.2,5.6
160003412,4,7,7,6.6,4.6,1.8,5.5,6.1,4,5.2,5.9,5.5
160002763,6.8,7,5.8,5,1.8,1.5,5.6,4.5,2.9,4.4,3.6,4.1
160002841,5.7,7,7,6.6,7,5.3,6,6.5,5.5,6.1,6.1,6.1
160000175,6.3,7,7,6.6,5.4,4.5,4.6,2.8,2.5,4.1,4,4.1
160000431,6.2,6.4,5.6,6.8,3.4,4,5.4,2.8,2.4,4,4,4
160003122,6.6,7,7,6,4.5,2.8,5.8,4.7,2.6,4.7,3.2,4.1
160002825,7,7,7,5.2,6.5,6,3.6,4.2,2.6,4.4,3.5,4
160002719,7,6.5,6.6,3.2,2.6,1.8,4.7,4.4,3.7,4.4,2.9,3.8
160003140,3.5,6,5,4.2,2.2,2.6,6.4,5.4,2.1,4.3,5,4.6
160001775,7,7,7,7,7,5.6,5.7,7,6.3,6.8,6.8,6.8
160001153,6.6,7,7,5.8,3.1,2.6,5.7,5.6,1.7,4.8,4.2,4.6
160000516,7,7,7,6.8,6,1.4,5.7,6.8,4.7,6,5.6,5.8
160002697,6.8,7,4,5.4,1.8,1.2,4.6,4.4,3.6,4.2,5.1,4.6
160003142,7,7,5.4,6.2,3.8,2.8,5.7,6.2,5.1,5.8,4.7,5.4
160002316,5.8,2,2,6.4,3.4,3.7,4.7,4.6,6.3,4.8,5.8,5.2
160000612,7,7,7,4,4.3,3,6.4,6.7,6,6.1,4.9,5.6
160003406,7,7,7,7,5.4,3.9,5.7,5.3,3.3,5.3,4.2,4.9
160001825,7,7,7,6.2,3.2,3.5,5.7,5.7,4.7,5.6,5.3,5.5
160003329,7,7,6.2,6,5.8,1.4,5.4,3.6,1.1,3.9,4.1,4
160002206,6.8,5.7,6.6,7,2.7,2.3,6.2,3.1,5.2,4.9,5.5,5.1
160000124,6.6,7,7,6.4,4.7,4.1,5.7,7,5.4,6.2,5.4,5.9
160003133,6.8,7,7,6.2,6.7,4.1,5.8,3.1,2.3,4.4,5.2,4.7
160000042,6.7,6,6.8,6.4,5.8,3,6.3,5.6,4.6,5.5,6.6,5.9
160000179,7,7,7,7,5.4,3.2,6,5.2,5.3,5.7,4.4,5.2
160000799,6,5.9,5.4,4.6,2.8,3.1,6.1,4.6,3.4,4.6,4.3,4.5
160000883,7,7,6.4,6,5.4,4.8,5.7,6.7,5.2,6.2,6.3,6.2
160001148,5.7,6.5,7,5.2,2.6,5.3,3.6,5.2,4,4.6,4.7,4.6
160003436,5.8,6,4,5.2,4.6,2.2,5.7,6.4,4.8,5.3,5.7,5.5
160000149,7,7,7,6.2,5.7,2.7,6.4,6.6,6.2,6.3,6.7,6.5
160000027,7,7,7,6.6,6,5,5.2,4.9,3.3,5,5.2,5.1
160000460,5.6,7,7,4.5,2.2,1.4,4.8,4.5,2.2,4,2.7,3.5
160001966,7,7,7,5,4.2,2.9,5.6,5.9,3.2,5.1,6.5,5.7
160000019,6.6,7,6.5,6.6,5.5,3.9,6.4,7,6.6,6.5,6.3,6.4
160002179,7,7,7,6.2,4.5,4.9,6.2,5.8,1.1,4.8,4.7,4.8
160000461,6,7,5.8,6.2,5.3,2.6,6,6.3,4.3,5.5,4.9,5.3
160000366,6.8,6.4,5.4,6.2,5,3.6,4.1,1.1,2.4,3.4,5.1,4.1
160003175,4.5,7,7,3.4,4.1,1.9,5.5,5.4,2.4,4.4,6.1,5.1
160001938,7,7,6.5,4.4,3.8,1.7,4.2,5.8,2.2,4.4,4.7,4.5
160003544,7,7,7,6.6,6.6,6.6,6.2,6.5,3.9,5.9,6,5.9
160001577,6.5,7,7,4.6,4.2,2,6,6.2,2.7,5,5.2,5.1
160003355,4,7,7,6.6,3.8,2,6.2,5.8,4.1,5.2,5.2,5.2
160002402,5.7,6,6.8,7,6.5,3.5,5.5,3.3,1.2,4,4,4
160003168,5.5,7,7,6.4,5.8,4.5,5.2,5.1,2.4,4.7,4.7,4.7
160000570,7,7,7,3,4.1,2,6.4,4.3,2.3,4.6,2.3,3.7
160000382,5.8,7,7,3,4.2,2,5.6,5.7,3.6,4.9,5.5,5.1
160001435,7,6.6,7,7,6.9,6.6,6.4,6.8,6.8,6.8,5.2,6.2
160002593,6.3,6.3,7,5.6,4.7,2.2,4.5,5.6,3.4,4.8,4,4.5
160000815,7,7,7,5.4,2.7,1.5,5.3,5.2,4.5,5,5.4,5.2
160002878,6.7,7,6.6,6.4,5,2,6.4,6,4.3,5.6,4.9,5.3
